log_mass_to_light_ratio,log_Omega,log_prob
-0.25714287,1.2782868,-10438.778
-0.23265307,1.2782868,-9685.986
-0.20816326,1.2782868,-9034.551
-0.18367347,1.2782868,-8522.105
-0.15918367,1.2782868,-8285.164
-0.13469388,1.2782868,-8336.753
-0.11020408,1.2782868,-8716.13
-0.08571429,1.2782868,-9390.77
-0.06122449,1.2782868,-10426.387
-0.036734693,1.2782868,-12026.541
-0.012244898,1.2782868,-14213.356
0.012244898,1.2782868,-17097.102
0.036734693,1.2782868,-20769.45
0.06122449,1.2782868,-25304.133
0.08571429,1.2782868,-30758.45
0.11020408,1.2782868,-37447.297
0.13469388,1.2782868,-45342.99
0.15918367,1.2782868,-54755.71
0.18367347,1.2782868,-66068.195
0.20816326,1.2782868,-79153.77
0.23265307,1.2782868,-94238.03
0.25714287,1.2782868,-111265.81
0.28163266,1.2782868,-130466.3
0.30612245,1.2782868,-151089.53
0.33061224,1.2782868,-173609.06
0.35510203,1.2782868,-198199.23
0.37959182,1.2782868,-225143.45
0.40408164,1.2782868,-253575.8
0.42857143,1.2782868,-283874.7
0.45306122,1.2782868,-315722.44
0.477551,1.2782868,-349107.78
0.5020408,1.2782868,-384432.25
0.5265306,1.2782868,-421522.47
0.5510204,1.2782868,-460574.47
0.5755102,1.2782868,-501840.62
0.6,1.2782868,-543868.3
-0.6,1.2965757,-24049.734
-0.5755102,1.2965757,-23050.168
-0.5510204,1.2965757,-22110.8
-0.5265306,1.2965757,-21079.236
-0.5020408,1.2965757,-19981.117
-0.477551,1.2965757,-18931.129
-0.45306122,1.2965757,-17900.406
-0.42857143,1.2965757,-17020.031
-0.40408164,1.2965757,-16020.76
-0.37959182,1.2965757,-15054.841
-0.35510203,1.2965757,-14079.77
-0.33061224,1.2965757,-13072.401
-0.30612245,1.2965757,-12129.0625
-0.28163266,1.2965757,-11199.479
-0.25714287,1.2965757,-10296.596
-0.23265307,1.2965757,-9462.835
-0.20816326,1.2965757,-8785.29
